Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,38700.0,47050.0,36850.0,46150.0,40226.3125,301783852
2019-01-31,46650.0,47550.0,44250.0,45100.0,39311.078125,194923203
2019-02-28,45100.0,47000.0,43100.0,44650.0,38918.84375,223260605
2019-03-31,45200.0,47600.0,43800.0,45850.0,40279.23828125,209113436
2019-04-30,45850.0,46150.0,40850.0,42500.0,37336.265625,271585071
2019-05-31,42950.0,47000.0,42500.0,47000.0,41289.51953125,194668243
2019-06-30,47350.0,47550.0,44350.0,45350.0,40151.00390625,183771791
2019-07-31,44900.0,45500.0,42500.0,44000.0,38955.7578125,205260271
2019-08-31,44850.0,49650.0,43100.0,49050.0,43426.82421875,207963296
2019-09-30,48900.0,52500.0,47350.0,50400.0,44945.44921875,199451656
2019-10-31,50600.0,53800.0,50200.0,50300.0,44856.26171875,223956592
2019-11-30,50900.0,57300.0,49000.0,55800.0,49761.02734375,264807425
2019-12-31,55800.0,62800.0,54600.0,56400.0,50619.55078125,319891636
2020-01-31,55500.0,62000.0,54200.0,54200.0,48645.0234375,360007160
2020-02-29,54300.0,58000.0,42300.0,47750.0,42856.08984375,778330384
2020-03-31,47450.0,52000.0,45350.0,50000.0,45206.8125,424101937
2020-04-30,50000.0,51200.0,47200.0,50700.0,45839.7109375,374264673
2020-05-31,50800.0,57000.0,49900.0,52800.0,47738.3984375,517439261
2020-06-30,53400.0,60400.0,52100.0,57900.0,52699.50390625,437314531
2020-07-31,57800.0,59900.0,54000.0,54000.0,49149.7890625,401697954
2020-08-31,54100.0,61300.0,54100.0,58200.0,52972.5546875,426302298
2020-09-30,58200.0,61500.0,56600.0,56600.0,51833.18359375,327557687
2020-10-31,56400.0,69500.0,56000.0,66700.0,61082.55859375,496431342
2020-11-30,67100.0,81300.0,67100.0,81000.0,74178.21875,529998852
2020-12-31,81000.0,96800.0,80200.0,82000.0,76983.8828125,765471247
2021-01-31,81700.0,86400.0,81000.0,82500.0,77453.2734375,432953240
2021-02-28,82500.0,85300.0,80600.0,81400.0,76420.578125,387612356
2021-03-31,82500.0,86200.0,81500.0,81500.0,76854.453125,372938171
2021-04-30,81000.0,83500.0,78400.0,80500.0,75911.4609375,352211074
2021-05-31,80500.0,83000.0,79600.0,80700.0,76100.078125,333099465
2021-06-30,80500.0,81300.0,78100.0,78500.0,74353.203125,275886253
2021-07-31,79200.0,83300.0,72500.0,76700.0,72648.2734375,499862582
2021-08-31,76700.0,77800.0,73700.0,74100.0,70185.640625,281233337
2021-09-30,73900.0,74000.0,68300.0,69800.0,66427.0703125,300193653
2021-10-31,70200.0,76200.0,69600.0,71300.0,67854.59375,313117871
2021-11-30,72000.0,80800.0,71600.0,78300.0,74516.3125,343905413
2021-12-31,79400.0,79800.0,71200.0,73300.0,70072.96875,267210370
2022-01-31,73300.0,75800.0,71300.0,71900.0,68734.6015625,161403414
2022-02-28,71900.0,73100.0,68700.0,69600.0,66535.859375,244959021
2022-03-31,69500.0,69600.0,64500.0,67400.0,64765.7578125,309880731
2022-04-30,66600.0,68800.0,64900.0,67400.0,64765.7578125,310129252
2022-05-31,67400.0,67400.0,56800.0,57000.0,54772.234375,428473209
2022-06-30,56900.0,62600.0,55700.0,61400.0,59361.02734375,301826933
2022-07-31,61000.0,61900.0,58200.0,59700.0,57717.484375,251681339
2022-08-31,58700.0,58900.0,51800.0,53100.0,51336.65625,288615372
2022-09-30,53100.0,60100.0,53100.0,59400.0,57822.03515625,326537635
2022-10-31,59900.0,63200.0,58100.0,62200.0,60547.65234375,290682036
2022-11-30,63100.0,63200.0,55300.0,55300.0,53830.94921875,234543029
2022-12-31,55500.0,65000.0,54500.0,61400.0,60142.59375,205479356
2023-01-31,62600.0,64000.0,60200.0,60600.0,59358.9765625,25872422
2023-02-28,60600.0,64000.0,59000.0,64000.0,62689.3515625,273644150
2023-03-31,64000.0,66600.0,62300.0,65500.0,64530.171875,291035766
2023-04-30,65500.0,72500.0,63600.0,71400.0,70342.8046875,269419265
2023-05-31,70900.0,73400.0,70000.0,72200.0,71130.96875,265070208
2023-06-30,72700.0,73600.0,68100.0,69800.0,69109.671875,303283444
2023-07-31,70100.0,71200.0,65800.0,66900.0,66238.3515625,258464791
2023-08-31,66800.0,72900.0,66700.0,68400.0,67723.5234375,283534308
2023-09-30,68400.0,70500.0,66000.0,66900.0,66584.7109375,290080133
2023-10-31,67500.0,73400.0,67300.0,72800.0,72456.90625,273455511
2023-11-30,72400.0,78500.0,71100.0,78500.0,78130.046875,254875780
2023-12-31,78500.0,79800.0,70700.0,72700.0,72700.0,387384335
2024-01-31,73000.0,75500.0,72000.0,73400.0,73400.0,298955484
2024-02-29,74300.0,75000.0,72100.0,72300.0,72300.0,181173202
2024-03-18,72600.0,73000.0,72500.0,72800.0,72800.0,11520348
